"player_id","perc_wins"
"146271",1
"132561",1
"126051",1
"163063",1
"168065",1
"299111",1
"178424",1
"324710",1
"308073",1
"317875",1
"303018",1
"556606",1
"293512",1
"172817",1
"327255",1
"318279",1
"397246",1
"582447",1
"293957",1
"310594",1
"306202",1
"310242",1
"182625",1
"302454",1
"351174",1
"343107",1
"439695",1
"439510",1
"336999",1
"525941",1
"410337",1
"320720",1
"316755",1
"313503",1
"389611",1
"374998",1
"405009",1
"387270",1
"442402",1
"546794",1
"321622",1
"341465",1
"341489",1
"305718",1
"314275",1
"355673",1
"511591",1
"525020",1
"403850",1
"401028",1
"388070",1
"565047",1
"616276",1
"750259",1
"608268",1
"374753",1
"307295",1
"370010",1
"403942",1
"409773",1
"506420",1
"331630",1
"383618",1
"436451",1
"597041",1
"429817",1
"541820",1
"547120",1
"616783",1
"747634",1
"618547",1
"430709",1
"441068",1
"392189",1
"376921",1
"394038",1
"540797",1
"411845",1
"595274",1
"637372",1
"679572",1
"567551",1
"564400",1
"700961",1
"630396",1
"793896",1
"623309",1
"589122",1
"749291",1
"610290",1
"631069",1
"821261",1
"714065",1
"745239",1
"115259",1
"137760",1
"166799",1
"177102",1
"337483",1
"144165",1
"200015",1
"154437",1
"324829",1
"168336",1
"174754",1
"188241",1
"292114",1
"444850",1
"171224",1
"387972",1
"186958",1
"175721",1
"346555",1
"352573",1
"422859",1
"301974",1
"308919",1
"372387",1
"355513",1
"376463",1
"534970",1
"435972",1
"509540",1
"527564",1
"292443",1
"184979",1
"377655",1
"421675",1
"434038",1
"455446",1
"464560",1
"332840",1
"321991",1
"586082",1
"658071",1
"291819",1
"321758",1
"318069",1
"361585",1
"352481",1
"458939",1
"516144",1
"622332",1
"583117",1
"339544",1
"315875",1
"401299",1
"430184",1
"392725",1
"361134",1
"458582",1
"354105",1
"464503",1
"551313",1
"745088",1
"647478",1
"332467",1
"330803",1
"337360",1
"455014",1
"392746",1
"535946",1
"577163",1
"577505",1
"582647",1
"589019",1
"637491",1
"613379",1
"582823",1
"303687",1
"466923",1
"374297",1
"527047",1
"442811",1
"536460",1
"434393",1
"527849",1
"544734",1
"567780",1
"586784",1
"587274",1
"619311",1
"541500",1
"614903",1
"431476",1
"322795",1
"403110",1
"366885",1
"329634",1
"412979",1
"358657",1
"520229",1
"383914",1
"542329",1
"439461",1
"518717",1
"584599",1
"653691",1
"617418",1
"621747",1
"615494",1
"460475",1
"652912",1
"622070",1
"633359",1
"615123",1
"631097",1
"728818",1
"345720",0.875
"374427",0.875
"177363",0.857142857142857
"749306",0.857142857142857
"793827",0.857142857142857
"374835",0.846153846153846
"341959",0.846153846153846
"151291",0.833333333333333
"341557",0.833333333333333
"305973",0.833333333333333
"460473",0.833333333333333
"436545",0.833333333333333
"554744",0.833333333333333
"329524",0.823529411764706
"307772",0.818181818181818
"440261",0.818181818181818
"144612",0.8
"145958",0.8
"180290",0.8
"171686",0.8
"159161",0.8
"186825",0.8
"446185",0.8
"401366",0.8
"526365",0.8
"377856",0.8
"542309",0.8
"379731",0.8
"419230",0.8
"541297",0.8
"716645",0.8
"689146",0.8
"177957",0.777777777777778
"444618",0.777777777777778
"346833",0.777777777777778
"351920",0.777777777777778
"631809",0.777777777777778
"174997",0.769230769230769
"444950",0.769230769230769
"396433",0.766666666666667
"340240",0.764705882352941
"816849",0.764705882352941
"303403",0.761904761904762
"324491",0.76
"308661",0.75
"176772",0.75
"172554",0.75
"176981",0.75
"146379",0.75
"173081",0.75
"179796",0.75
"175018",0.75
"337122",0.75
"299161",0.75
"303459",0.75
"178381",0.75
"307797",0.75
"293385",0.75
"307741",0.75
"330413",0.75
"367141",0.75
"354248",0.75
"318658",0.75
"419243",0.75
"509619",0.75
"554079",0.75
"559160",0.75
"543707",0.75
"646081",0.75
"441011",0.75
"310646",0.75
"446018",0.75
"537951",0.75
"589108",0.75
"629935",0.75
"779019",0.75
"621114",0.75
"630093",0.75
"716623",0.75
"646521",0.75
"816320",0.75
"816895",0.75
"819942",0.75
"565212",0.75
"715373",0.75
"519385",0.736842105263158
"184221",0.727272727272727
"181632",0.727272727272727
"294598",0.727272727272727
"347222",0.727272727272727
"318036",0.714285714285714
"176854",0.714285714285714
"316470",0.714285714285714
"320961",0.714285714285714
"307767",0.714285714285714
"305419",0.714285714285714
"371634",0.714285714285714
"321820",0.714285714285714
"502875",0.714285714285714
"650186",0.714285714285714
"609350",0.714285714285714
"777158",0.705882352941177
"779030",0.705882352941177
"463027",0.7
"457301",0.7
"459702",0.7
"507398",0.7
"586226",0.7
"778033",0.7
"141209",0.696969696969697
"159343",0.692307692307692
"504612",0.692307692307692
"341055",0.692307692307692
"371631",0.692307692307692
"511220",0.689655172413793
"150305",0.684210526315789
"175729",0.684210526315789
"540533",0.684210526315789
"793428",0.681818181818182
"316640",0.67741935483871
"124316",0.666666666666667
"145528",0.666666666666667
"129439",0.666666666666667
"141341",0.666666666666667
"143885",0.666666666666667
"160810",0.666666666666667
"172236",0.666666666666667
"146818",0.666666666666667
"155518",0.666666666666667
"172918",0.666666666666667
"151033",0.666666666666667
"189027",0.666666666666667
"145815",0.666666666666667
"291429",0.666666666666667
"166124",0.666666666666667
"179928",0.666666666666667
"184704",0.666666666666667
"184087",0.666666666666667
"293506",0.666666666666667
"291269",0.666666666666667
"373518",0.666666666666667
"422347",0.666666666666667
"360443",0.666666666666667
"296240",0.666666666666667
"308754",0.666666666666667
"301156",0.666666666666667
"433923",0.666666666666667
"180181",0.666666666666667
"345823",0.666666666666667
"313131",0.666666666666667
"356684",0.666666666666667
"317913",0.666666666666667
"169876",0.666666666666667
"339259",0.666666666666667
"337327",0.666666666666667
"438951",0.666666666666667
"354129",0.666666666666667
"462332",0.666666666666667
"516941",0.666666666666667
"439870",0.666666666666667
"461774",0.666666666666667
"316752",0.666666666666667
"359496",0.666666666666667
"380762",0.666666666666667
"540031",0.666666666666667
"381191",0.666666666666667
"523730",0.666666666666667
"293515",0.666666666666667
"341672",0.666666666666667
"291534",0.666666666666667
"308733",0.666666666666667
"376601",0.666666666666667
"404815",0.666666666666667
"431096",0.666666666666667
"459988",0.666666666666667
"430039",0.666666666666667
"339273",0.666666666666667
"650837",0.666666666666667
"462152",0.666666666666667
"581782",0.666666666666667
"188511",0.666666666666667
"351207",0.666666666666667
"347014",0.666666666666667
"387534",0.666666666666667
"442409",0.666666666666667
"599516",0.666666666666667
"370013",0.666666666666667
"324493",0.666666666666667
