"","player_id","variable","mean","median","sd","mad","q5","q95","rhat","ess_bulk","ess_tail","perc_wins","player_name"
"2546",150963,"rating[272]",985.44306525,985.23,197.667531451945,201.641013,664.8238,1309.9815,1.00093768553033,6330.29167004946,2412.33351500618,0.5,"1Julio Cesar Julio Cesar de Souza... RP150963"
"2547",169529,"rating[172]",985.442566,986.341,198.433460144426,195.6335178,651.02405,1310.835,1.00381452982625,6241.17290386938,2533.46674100029,0.435294117647059,"2Ayrton Ayrton Luiz Ganino TP169529"
"2548",704417,"rating[2701]",985.401613,991.74,207.67855332992,207.7204143,644.97725,1319.3255,1.00111249569425,7568.34803560334,2643.35383696171,0.315789473684211,"7Gil Leonardo Roque Albano Gil TP704417"
"2549",531317,"rating[2242]",985.37671375,984.189,196.440497034615,199.2703356,657.6512,1313.764,1.00195186633114,7055.83211728866,2240.70437272716,0.428571428571429,"14Vilches Christian Alberto Vi... RP531317"
"2550",612628,"rating[2342]",985.347914,983.879,200.155126076846,202.3763826,670.43185,1313.2265,1.0045470338733,7193.20464609898,2285.06330153567,0.542857142857143,"35Vanderson Vanderson de Oliveir ... RP612628"
"2551",171936,"rating[420]",985.30260425,981.0305,201.40884113681,204.8337921,657.7326,1320.011,1.00329231053371,8382.87219854225,2785.8289465371,0.5,"30Bruno Bruno Cesar Zanaki TP171936"
"2552",316223,"rating[606]",985.22883875,987.244,197.414590949517,201.5609526,669.4268,1308.8935,1.00246671394707,7628.76742644177,2341.78791836452,0.474358974358974,"6Marlon Marlon Matheus Lopes ... TP316223"
"2553",324493,"rating[2238]",985.223962,987.976,193.862489466156,195.7810365,665.1943,1305.7355,1.00102717489135,6410.67215383366,2075.15724670512,0.666666666666667,"21Charles Ma ... Charles Marcelo da Silva RP324493"
"2554",581520,"rating[1766]",985.21693875,985.206,200.102245334133,207.7923204,657.89135,1314.987,1.00378246390804,7792.44691192678,2467.54273591011,0.428571428571429,"17Matheus Matheus Henrique Bianqui RP581520"
"2555",339259,"rating[1484]",985.159615,981.8735,199.031454812156,203.0858067,664.52665,1315.636,1.00145714359027,6827.56658057257,2645.15896490586,0.666666666666667,"37Guilherme  ... Guilherme Mantuan RP339259"
"2556",520331,"rating[2127]",985.1455425,983.68,198.573397576451,199.3555851,654.91895,1313.2095,0.999546826053446,8272.77503928605,2566.98511879003,0.375,"80Mancha Gianluca Piola Minozzo RP520331"
"2557",184798,"rating[1009]",985.14108975,985.2435,195.011529193626,202.189575,671.3792,1298.0155,1.0017715002873,7618.63219411807,2830.470761625,0.428571428571429,"19Didira Cicero dos Santos TP184798"
"2558",559670,"rating[1757]",985.12958275,985.4745,200.880002551761,197.8018203,660.07375,1322.722,1.00192856596055,7695.3668395608,2789.60738198062,0.4375,"15Figueiredo Lucas Figueiredo dos ... RP559670"
"2559",542178,"rating[1775]",985.119113,989.253,200.481769070187,202.2296052,653.6913,1313.6445,0.999550753763725,7533.42506198642,2534.72186253759,0.566666666666667,"45Nathan Nathan Gabriel de So ... TP542178"
"2560",185304,"rating[817]",985.09883125,984.2215,206.317243881818,206.4868911,646.14505,1325.239,1.00106324623564,6281.02204510456,2199.04804067513,0.454545454545455,"20Fernando V ... Fernando Viana Jardi... RP185304"
"2561",165264,"rating[142]",985.090897,982.497,203.400417515373,205.1295708,650.6112,1322.669,0.99990041591237,8054.6636195328,2620.26875149518,0.5,"13Leonardo M ... Leonardo Jose Aparec ... RP165264"
"2562",356403,"rating[919]",985.08687625,981.176,204.107613176764,203.6477121,658.27125,1320.392,1.00164480684606,7485.7397584785,2190.85012723936,0.363636363636364,"12Gabriel Gabriel de Souza Ino ... RP356403"
"2563",172411,"rating[241]",985.04264125,983.776,191.320203656787,193.709103,665.2328,1298.458,1.00032678201363,7362.53262732673,2349.63884900584,0.539568345323741,"4Werley Werley Ananias da Silva TP172411"
"2564",749185,"rating[2557]",984.99650475,986.5845,197.272837417716,200.8485633,658.84345,1307.424,1.00132257506679,6779.91531332075,2285.86660488219,0.473684210526316,"6Brayan Ceb ... Brayan Andres Ceball ... TP749185"
"2565",526627,"rating[2698]",984.97662125,984.491,196.820775811221,194.6268324,666.54695,1314.7335,1.00139149028399,6173.34626735274,2272.09006838837,0.4,"19Igor Jesus Igor Jesus Maciel da ... TP526627"
"2566",381926,"rating[1287]",984.974493,983.8005,195.330806307489,194.8981482,666.18455,1304.5155,0.99994641684063,7138.92955679735,2656.00682632997,0.45,"13Frazan Wesley Frazan Bernardo RP381926"
"2567",341672,"rating[1801]",984.965485,983.1165,201.776758790616,208.3697931,648.4999,1312.569,1.00383590742072,8269.36633511009,2460.10910943553,0.666666666666667,"15 Gustavo Henrique Bar ... R 341672"
