"player_id","player_name"
137377,"25Fernando Fernando Buttenbende... T(g)P137377"
149237,"7Nilmar Nilmar Honorato da Silva RP149237"
151437,"11Rafael Moura Rafael Martiniano de... TP151437"
140653,"8Cleber San ... Cleber Santana Loureiro TP140653"
122714,"12Nivaldo Jose Nivaldo Martins ... RP122714"
150642,"19Andre Bahia Andre Luiz Bahia San... RP150642"
138321,"10Julio Cesa ... Julio Cesar Baptista RP138321"
155541,"88Roger Roger Rodrigues da Silva RP155541"
146817,"10Douglas Douglas dos Santos RP146817"
143829,"3Jeci Jecimauro Jose Borge ... TP143829"
155703,"12Renan Renan Brito Soares RP155703"
143465,"19Alecsandro Alecsandro Barbosa F... TP143465"
118442,"11Marcelinho ... Marcelo dos Santos TP118442"
120743,"20Magno Magno Alves de Araujo RP120743"
143841,"19Edmilson d ... Edmilson dos Santos  ... RP143841"
138932,"2Ceara Marcos Venancio de A ... TP138932"
165322,"3Geromel Pedro Tonon Geromel TP165322"
162907,"8Marcio Ara ... Marcio Rodrigues Araujo TP162907"
141516,"6Durval Severino dos Ramos D ... TP141516"
137798,"17Eduardo Co ... Eduardo Nascimento Costa RP137798"
159341,"8Ricardinho Ricardo Souza Silva TP159341"
150151,"9Ricardo Ol ... Ricardo de Oliveira TP150151"
143977,"5Edinho Edimo Ferreira Campos TP143977"
155330,"7Michel Bas ... Michel Fernandes Bastos RP155330"
130978,"8Lucio Flavio Lucio Flavio dos Santos RP130978"
141880,"9William William Junior Salle ... TP141880"
166649,"14Wallace Reis Wallace Reis Silva RP166649"
136674,"25Fabricio Fabricio de Sousa RP136674"
167600,"4Ricardo Ricardo Martins de A ... TP167600"
156351,"10Eder Ederson Honorato Campos TP156351"
156659,"1Victor Victor Leandro Bagy T(g)P156659"
144360,"17Andrezinho Andre Luiz Tavares RP144360"
154989,"3Emerson Emerson dos Santos d... RP154989"
164019,"10Joao Vitor Joao Vitor Lima Gomes TP164019"
154497,"18Andre Lima Andre Luiz Barreto S... RP154497"
143885,"28Almir Almir Lopes de Luna TP143885"
127754,"17Cristian Cristian Martins Cabral RP127754"
144035,"9Leandrao Leandro Costa Miranda TP144035"
165524,"9Kempes Everton Kempes dos S... TP165524"
155193,"10Carlos Alb ... Carlos Alberto Gomes ... TP155193"
159209,"1Danilo Marcos Danilo Padilha T(g)P159209"
135687,"9Luis Fabiano Luis Fabiano Clemente TP135687"
161625,"10Diego Souza Diego de Souza Andrade TP161625"
168441,"8Anderson Anderson Luis de Abr... TP168441"
132561,"14Alessandro Alessandro da Concei... RP132561"
165264,"13Leonardo M ... Leonardo Jose Aparec ... RP165264"
137283,"10Marcelo Co ... Marcelo Pereira da Costa TP137283"
162467,"14Edcarlos Edcarlos Conceicao S ... RP162467"
150176,"30Kleber Kleber Giacomace de  ... RP150176"
147010,"23Grafite Edinaldo Batista Libanio TP147010"
137403,"55Leandro Leandro Luchese Guer ... TP137403"
172039,"7Fernando Fernando Paixao da Silva TP172039"
146539,"30Leandro Leandro Domingues Ba... TP146539"
162393,"5Diego Lugano Diego Alfredo Lugano... TP162393"
163518,"19Nilton Nilton Ferreira Junior TP163518"
154208,"16Cristian Cristian Mark Junio ... TP154208"
152954,"7Robinho Robson de Souza TP152954"
154179,"12Sidney Sidney Aparecido Ram... RP154179"
166276,"12Cassio Cassio Ramos TP166276"
